ID,PrimaryStreet,LocationDescription,Location,Source,1972,1981,1987,1989,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,AMPeak1972,AMPeak1981,AMPeak1987,AMPeak1989,AMPeak1994,AMPeak1995,AMPeak1996,AMPeak1997,AMPeak1998,AMPeak1999,AMPeak2000,AMPeak2001,AMPeak2002,AMPeak2003,AMPeak2004,AMPeak2005,AMPeak2006,AMPeak2007,AMPeak2008,AMPeak2009,AMPeak2010,AMPeak2011,AMPeak2012,AMPeak2013,AMPeak2014,PMPeak1972,PMPeak1981,PMPeak1987,PMPeak1989,PMPeak1994,PMPeak1995,PMPeak1996,PMPeak1997,PMPeak1998,PMPeak1999,PMPeak2000,PMPeak2001,PMPeak2002,PMPeak2003,PMPeak2004,PMPeak2005,PMPeak2006,PMPeak2007,PMPeak2008,PMPeak2009,PMPeak2010,PMPeak2011,PMPeak2012,PMPeak2013,PMPeak2014
194,Oxford Street,North of Forest Street,"(42.385339122700003, -71.116136421700006)",Cordon Counts,3810,6963,6631,,,,,,4987,0,,,,,,,0,,0,,,0,,,,,,,,,,,,366,0,,,,,,,,,0,,,0,,,,,,,,,,,,409,0,,,,,,,,,0,,,0,,,
196,Plympton Street,East of Memorial Drive,"(42.369752000399899, -71.118027000300003)",Cordon Counts,1901,2020,2017,,,,,,2128,0,,,,,,,0,,0,,,0,,,,,,,,,,,,174,0,,,,,,,,,0,,,0,,,,,,,,,,,,205,0,,,,,,,,,0,,,0,,,
197,Prospect Street,North of Cambridge Street,"(42.373663145199899, -71.097928198999895)",Cordon Counts; 2013 TP&T Citywide Counts(Used Wed &Thu Average),12664,12113,13616,,,,,,14778,0,,,,,,,0,,0,,,0,,10683,,,,,,,,,,852,0,,,,,,,,,0,,,0,,561,,,,,,,,,,1027,0,,,,,,,,,0,,,0,,699,
199,River Street,East of Memorial Drive,"(42.3616663634999, -71.1153001805)",Cordon Counts;2013 TP&T Citywide Counts(Used Wed &Thu Average),,14968,17568,,,,,,17386,0,,,,,,,0,,0,,,0,,11637,,,,,,,,,,1193,0,,,,,,,,,0,,,0,,778,,,,,,,,,,1293,0,,,,,,,,,0,,,0,,771,
201,Russell Street,East of Mass. Avenue,"(42.391569965400002, -71.123734459999895)",Cordon Counts,,,,,,,,,3290,0,,,,,,,0,,0,,,0,,,,,,,,,,,,277,0,,,,,,,,,0,,,0,,,,,,,,,,,,320,0,,,,,,,,,0,,,0,,,
202,Scott Street,West of Bryant,"(42.379350999800003, -71.109811000500002)",Cordon Counts,1557,1755,,,,,,,1461,0,,,,,,,0,,0,,,0,,,,,,,,,,,,69,0,,,,,,,,,0,,,0,,,,,,,,,,,,181,0,,,,,,,,,0,,,0,,,
203,Somerville Avenue,East of White Street,"(42.388251999799898, -71.118569000500003)",Cordon Counts,13396,17146,20333,,,,,,17053,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1228,0,,,,,,,,,0,,,0,,,,,,,,,,,,1227,0,,,,,,,,,0,,,0,,,
204,Springfield Street,North of Cambridge Street,"(42.3741860003, -71.100412000299897)",Cordon Counts,,,,,,,,,3331,0,,,,,,,0,,0,,,0,,,,,,,,,,,,292,0,,,,,,,,,0,,,0,,,,,,,,,,,,270,0,,,,,,,,,0,,,0,,,
205,T Access Road (Alewife),North of Egress Rd.,"(42.396856000100001, -71.143309000499897)",Cordon Counts,,,,,,,,,10266,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2529,0,,,,,,,,,0,,,0,,,,,,,,,,,,649,0,,,,,,,,,0,,,0,,,
207,Third Street,South of O'Brien Hwy.,"(42.3721897341999, -71.079574130300003)",Cordon Counts,8532,12845,14192,,,,,,14184,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1052,0,,,,,,,,,0,,,0,,,,,,,,,,,,1374,0,,,,,,,,,0,,,0,,,
208,Vasser Street,North of Memorial Drive,"(42.3540900003999, -71.107042999800001)",Cordon Counts,2601,4697,6169,,,,,,5677,0,,,,,,,0,,0,,,0,,,,,,,,,,,,659,0,,,,,,,,,0,,,0,,,,,,,,,,,,482,0,,,,,,,,,0,,,0,,,
209,Wadsworth Street,North of Memorial Drive,"(42.360667263000003, -71.084121573399898)",Cordon Counts,6958,7039,4763,,,,,,3257,0,,,,,,,0,,0,,,0,,,,,,,,,,,,438,0,,,,,,,,,0,,,0,,,,,,,,,,,,207,0,,,,,,,,,0,,,0,,,
210,Warren Street,North of Cambridge St.,"(42.372399066600003, -71.088197632299895)",Cordon Counts,,,,,,,,,4898,0,,,,,,,0,,0,,,0,,,,,,,,,,,,245,0,,,,,,,,,0,,,0,,,,,,,,,,,,466,0,,,,,,,,,0,,,0,,,
211,Webster Avenue,North of Cambridge Street,"(42.3730571076999, -71.094325778400005)",Cordon Counts,9983,8208,9159,,,,,,9143,0,,,,,,,0,,0,,,0,,,,,,,,,,,,633,0,,,,,,,,,0,,,0,,,,,,,,,,,,749,0,,,,,,,,,0,,,0,,,
213,Mt. Auburn Street,West of Eliot Street,"(42.372967149399898, -71.1218465713999)","Conductor's Building Restoration Proejct, TIS, June 2008.",,,,,,,,,,0,,,,,,,0,,5720,,,0,,,,,,,,,,,,,0,,,,,,,,,400,,,0,,,,,,,,,,,,,0,,,,,,,,,360,,,0,,,
214,Broadway,West of Main Street,"(42.3625257254999, -71.084104577600002)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,19501,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
215,Wadsworth Street,South of Main Street,"(42.361901461099897, -71.084308523499899)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,2412,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
216,Main Street,East of Wadsworth Street,"(42.3621081617, -71.0837261689)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,4706,,0,,,0,,,,,,,,,,,,,0,,,,,,,290,,0,,,0,,,,,,,,,,,,,0,,,,,,,379,,0,,,0,,,
218,Route 2,"Exit ramp, east of Acorn Park Drive","(42.398670852999899, -71.145772473799894)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,11100,,0,,0,,,0,,,,,,,,,,,,,0,,,,,1972,,,,0,,,0,,,,,,,,,,,,,0,,,,,866,,,,0,,,0,,,
220,Blanchard, ,"(42.392525543399898, -71.157744495200006)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,960,,0,,0,,,0,,,,,,,,,,,,,0,,,,,364,,,,0,,,0,,,,,,,,,,,,,0,,,,,288,,,,0,,,0,,,
222,Acorn Park Drive,West of Discovery Park internal driveway,"(42.397817254899898, -71.150931397400001)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,740,,0,,0,,,0,,,,,,,,,,,,,0,,,,,377,,,,0,,,0,,,,,,,,,,,,,0,,,,,203,,,,0,,,0,,,
226,Pearl Street,Between McTernan Street and Erie Street,"(42.3603350429999, -71.107366555599896)","Blessed Sacrament Project, Special Permit Application, Dec. 28, 2005.",,,,,,,,,,0,,,,,,3300,0,,0,,,0,,,,,,,,,,,,,0,,,,,,260,,,0,,,0,,,,,,,,,,,,,0,,,,,,280,,,0,,,0,,,
228,O'Brien Highway,West of Cambridge Street,"(42.370911, -71.076277999400006)","North Point TIS, Oct. 29, 2002.",,,,,,,,,,0,,,32400,,,,0,,0,,,0,,,,,,,,,,,,,0,,,2040,,,,,,0,,,0,,,,,,,,,,,,,0,,,2120,,,,,,0,,,0,,,
229,O'Brien Highway,East of Industrial Way,"(42.370646427899899, -71.075713539099894)","North Point TIS, Oct. 29, 2002.",,,,,,,,,,0,,,39700,,,,0,,0,,,0,,,,,,,,,,,,,0,,,2690,,,,,,0,,,0,,,,,,,,,,,,,0,,,2440,,,,,,0,,,0,,,
233,Third Street,South of Cambridge Street,"(42.3708290516999, -71.079897595999896)","North Point TIS, Oct. 29, 2002.",,,,,,,,,,0,,,8200,,,,0,,0,,,0,,,,,,,,,,,,,0,,,560,,,,,,0,,,0,,,,,,,,,,,,,0,,,670,,,,,,0,,,0,,,
234,East Street,North of O'Brien Hwy.,"(42.3710211796, -71.075767127600002)","North Point TIS, Oct. 29, 2002. North Point2012 Monitoring Report, VHB.",,,,,,,,,,0,,,3000,,,,0,,0,,,0,2883,,,,,,,,,,,,0,,,250,,,,,,0,,,0,,,,,,,,,,,,,0,,,230,,,,,,0,,,0,,,
236,Cameron Avenue,East of Massachusetts Avenue,"(42.397816336799899, -71.129794164800003)","2419 Massachusetts Avenue Traffic Impact and Access Study, July 2009. (Rounder Records site residential project). ADT done June 2009.",,,,,,,,,,0,,,,,,,0,,0,6000,,0,,,,,,,,,,,,,0,,,,,,,,,0,486,,0,,,,,,,,,,,,,0,,,,,,,,,0,458,,0,,,
239,First Street,100' North of Charles St.,"(42.367507402999898, -71.077652469300006)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts)",,,,,,,,,,0,,,,,,,0,,0,7039,7045,6259,6766,8456,7591,,,,,,,,,,0,,,,,,,,,0,467,462,407,687,528,494,,,,,,,,,,0,,,,,,,,,0,682,716,597,655,702,708
240,Second Street,100' North of Charles St.,"(42.3676999995999, -71.079340841399897)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts)",,,,,,,,,,0,,,,,,,0,,0,1929,1920,1756,1683,1982,1932,,,,,,,,,,0,,,,,,,,,0,134,165,174,170,140,179,,,,,,,,,,0,,,,,,,,,0,276,243,185,200,351,313
242,Sciarappa Street,100' North of Charles St.,"(42.3680995628999, -71.082218266500007)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts)",,,,,,,,,,0,,,,,,,0,,0,418,466,352,825,456,447,,,,,,,,,,0,,,,,,,,,0,34,34,25,42,37,38,,,,,,,,,,0,,,,,,,,,0,62,62,43,45,60,70
243,Fifth Street,100' North of Charles St.,"(42.368266887600001, -71.083882100400004)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts)",,,,,,,,,,0,,,,,,,0,,0,948,841,688,780,816,1106,,,,,,,,,,0,,,,,,,,,0,74,74,61,58,65,152,,,,,,,,,,0,,,,,,,,,0,172,112,79,80,100,139
244,Sixth Street,100' North of Charles St.,"(42.368464412400002, -71.085539780600001)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day c ounts)",,,,,,,,,,0,,,,,,,0,,0,2619,2629,2475,2286,2618,2329,,,,,,,,,,0,,,,,,,,,0,289,294,357,240,270,210,,,,,,,,,,0,,,,,,,,,0,288,280,183,249,279,297
245,Fulkerson St. (one-way),100' North of Charles St.,"(42.368771187500002, -71.087647057500007)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts)",,,,,,,,,,0,,,,,,,0,,0,2490,2449,2342,2397,2190,2588,,,,,,,,,,0,,,,,,,,,0,279,283,282,232,241,294,,,,,,,,,,0,,,,,,,,,0,166,147,150,163,149,166
248,Binney Street,Between 5th and 6th Street,"(42.366053055400002, -71.0853112944)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,12597,,0,,,,,,,,,,,,,0,,,,,,,,,0,845,,0,,,,,,,,,,,,,0,,,,,,,,,0,1220,,0,,,
249,Land Boulevard,South of Binney Street,"(42.364890831899899, -71.077531358300007)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,27624,,0,,,,,,,,,,,,,0,,,,,,,,,0,2190,,0,,,,,,,,,,,,,0,,,,,,,,,0,1985,,0,,,
250,First Street,Between Rogers and Binney St.,"(42.365557853200002, -71.078150640800004)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,5529,,0,,,,,,,,,,,,,0,,,,,,,,,0,414,,0,,,,,,,,,,,,,0,,,,,,,,,0,595,,0,,,
251,Second Street,Between Rogers and Binney St.,"(42.365785855600002, -71.079796848399894)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,2022,,0,,,,,,,,,,,,,0,,,,,,,,,0,147,,0,,,,,,,,,,,,,0,,,,,,,,,0,293,,0,,,
252,Third Street,Between Binney and Linskey Way,"(42.365425278399897, -71.082577258300006)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,8534,,0,,,,,,,,,,,,,0,,,,,,,,,0,744,,0,,,,,,,,,,,,,0,,,,,,,,,0,750,,0,,,
253,Fifth Street,Between Bent and Charles St.,"(42.367750000000001, -71.084007999799894)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,848,,0,,,,,,,,,,,,,0,,,,,,,,,0,63,,0,,,,,,,,,,,,,0,,,,,,,,,0,96,,0,,,
254,Sixth Street,Between Bent and Charles St.,"(42.367905661199899, -71.085667279999896)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,2026,,0,,,,,,,,,,,,,0,,,,,,,,,0,250,,0,,,,,,,,,,,,,0,,,,,,,,,0,154,,0,,,
255,Third Street,Between Rogers and Binney St.,"(42.366074817300003, -71.0822025553)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,8880,,0,,,,,,,,,,,,,0,,,,,,,,,0,650,,0,,,,,,,,,,,,,0,,,,,,,,,0,792,,0,,,
255,Third Street,Between Rogers and Binney St.,,"Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,8880,,0,,,,,,,,,,,,,0,,,,,,,,,0,650,,0,,,,,,,,,,,,,0,,,,,,,,,0,792,,0,,,
261,Main Street,Near MBTA station (Eastbound only for Main Street),"(42.362513316200001, -71.086953705699898)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority.",,,,4250,6300,5400,4050,5250,5900,5800,5500,5950,,5700,5400,5100,4900,5400,5100,5150,5400,5450,5450,5250,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
264,Binney Street,West of Third Street,"(42.365789687899898, -71.082855096800003)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority. 249 Third St. TIS for 2014 (counts done Sept. 17&18, 2014)",,,,8800,10900,11200,11750,12050,13400,13850,14100,14250,,13200,12800,13550,12750,14550,12950,12900,13100,12050,13050,13200,11821,,,,,,,,,,0,,,,,,,,,0,,,0,,,835,,,,,,,,,,0,,,,,,,,,0,,,0,,,975
265,Third Street,North of Broadway,"(42.363050545500002, -71.084103665599898)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority, 11/25/09.",,,,,10600,10350,12400,11000,11200,11050,11750,11650,,11550,10600,9200,9300,8550,9200,8500,10050,10450,10650,10500,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
267,Trowbridge Street (one-way NB),North of Massachusetts Avenue,"(42.370579490200001, -71.112609421499897)","1075 Massachusetts Avenue Traffic Impact Assessment, March 2010. ATR's completed first week of March 2010.",,,,,,,,,,0,,,,,,,0,,0,,3500,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,350,0,,,
268,Hampshire Street,West of Webster St.,"(42.367046000099897, -71.0927179997)","201 Broadway Proposed Office Building, Traffic Impact & Access Memorandum, VHB, July 1988. (note: counts are Jan. 1988).",,,,7040,,,,,,0,,,,,,,0,,0,,,0,,,,,,,640,,,,,,0,,,,,,,,,0,,,0,,,,,,,730,,,,,,0,,,,,,,,,0,,,0,,,
269,Broadway,West of Portland (at 201 Broadway site),"(42.3659124474, -71.092417230099898)","201 Broadway Proposed Office Building, Traffic Impact & Access Memorandum, VHB, July 1988. (note: counts are Jan. 1988).",,,,11120,,,,,,0,,,,,,,0,,0,,,0,,,,,,,960,,,,,,0,,,,,,,,,0,,,0,,,,,,,970,,,,,,0,,,,,,,,,0,,,0,,,
270,Blanchard Road,By the raised device.,"(42.3886944411, -71.1573771483)","Vollmer, June 2004 Count, City of Cambridge 2006 counts, McMahon Sept. 2007, HDR Oct. 2009, HDR April 2010.",,,,,,,,,,0,,,,,12850,,11980,11800,0,10100,12200,0,,,,,,,,,,,,,0,,,,,960,,1150,940,0,1050,975,0,,,,,,,,,,,,,0,,,,,1005,,1020,1030,0,990,1050,0,,,
271,Roseland Street,East of Mass. Avenue,"(42.3867691503999, -71.118434303100003)","Lesley University Art Insititute TIS, Nov. 2010.",,,,,,,,,,0,,,,,,,0,,0,,4015,0,,,,,,,,,,,,,0,,,,,,,,,0,,325,0,,,,,,,,,,,,,0,,,,,,,,,0,,312,0,,,
272,Mass. Avenue,North of Roseland Street,"(42.387117000099899, -71.119101000399894)","Lesley University Art Institute TIS, Nov. 2010",,,,,,,,,,0,,,,,,,0,,0,,17613,0,,,,,,,,,,,,,0,,,,,,,,,0,,1560,0,,,,,,,,,,,,,0,,,,,,,,,0,,1598,0,,,
273,Mass. Avenue,North of Upland Road,"(42.388308213400002, -71.119509614500004)","Lesley University Art Institute TIS, Nov. 2010",,,,,,,,,,0,,,,,,,0,,0,,21188,0,,,,,,,,,,,,,0,,,,,,,,,0,,1603,0,,,,,,,,,,,,,0,,,,,,,,,0,,1756,0,,,
275,Putnam Avenue,West of Sidney Street,"(42.356742157100001, -71.106930914800003)","CDD Cambridgeport Traffic Volume counts, Vollmer Associates.",,,,,,,2554,,,0,,,,,,,1774,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
276,Henry Street,East of Brookline Street,"(42.355779764200001, -71.109369277900001)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.",,,,,,,6407,,,0,,,7814,8379,,,246,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
277,Waverly Street,South of Erie Street,"(42.357239906899899, -71.104123599999895)","CDD Cambridgeport Traffic Volume counts, Volmer Associates.  TPT Cambridgeport ADT's May 2011.",,,,,,,3214,,,0,,,3764,3487,,,3099,,0,,,3602,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
279,Sidney Street,North of Putnam Ave.,"(42.356775543200001, -71.106573159899895)","CDD Cambridgeport Traffic Volume counts, Volmer Associates.",,,,,,,5781,,,0,,,,,,,4640,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
280,Granite Street,West of Brookline Street,"(42.355189000300001, -71.110597000499894)","CDD Cambridgeport Traffic Volume counts, Volmer Associates.  TPT Cambridgeport ADT's May 2011.",,,,,,,4697,,,0,,,,,,,4270,,0,,,3240,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
281,Brookline Street,South of Putnam Avenue,"(42.357176289100003, -71.108210469300005)","CDD Cambridgeport Traffic Volume counts, Volmer Associates.",,,,,,,6847,,,0,,,,,,,4208,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
282,Waverly Street,East of Brookline Street,"(42.355155000400003, -71.110113000200002)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.",,,,,,,,,,0,,,,,,,5828,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
283,Green Street,West of Pearl Street,"(42.3643968067, -71.1035831409)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.300 Mass. Avenue TIS, May 2013 (counts done in April 2013).",,,,,,,,,,0,,,4915,5153,,,4064,,0,,,4122,,3666,,,,,,,,,,,0,,,,,,,,,0,,,0,,213,,,,,,,,,,,0,,,,,,,,,0,,,0,,386,
284,Erie Street,West of Waverly Street,"(42.357932940700003, -71.104152850399899)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.",,,,,,,,,,0,,,1312,1308,,,2268,,0,,,2846,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
285,Putnam Avenue,West of Brookline Street,"(42.357535755400001, -71.108316937300003)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.",,,,,,,,,,0,,,3583,3825,,,2929,,0,,,4376,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
286,Sidney Street,South of Putnam Avenue,"(42.356461959599898, -71.106909803299899)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011. 240 Sidney Street TIS, Jan 3, 2013.  Counts done Sept. 2012.",,,,,,,,,,0,,,5065,4748,,,3891,,0,,,3248,,3508,,,,,,,,,,,0,,,,,,,,,0,,,0,,233,,,,,,,,,,,0,,,,,,,,,0,,,0,,377,
287,Brookline Street,North of Henry Street,"(42.356112429, -71.109369469900003)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.",,,,,,,,,,0,,,5280,5987,,,6142,,0,,,4650,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
288,Pearl Street,North of Putnam Avenue,"(42.358419867099897, -71.109407589400007)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.",,,,,,,,,,0,,,3109,2742,,,2746,,0,,,1997,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
289,Magazine Street,South of Putnam Avenue,"(42.3589198495999, -71.111290742400001)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.  TPT Cambridgeport ADT's May 2011.",,,,,,,,,,0,,,4837,3843,,,3728,,0,,,3742,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
290,Franklin Street,West of Brookline Street,"(42.363057258399898, -71.102742380400002)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006. 300 Mass. Avenue TIS, May 2013 (counts done in April 2013).",,,,,,,,,,0,,,2737,2396,,,2103,,0,,,0,,2318,,,,,,,,,,,0,,,,,,,,,0,,,0,,235,,,,,,,,,,,0,,,,,,,,,0,,,0,,162,
291,Auburn Street,West of Brookline Street,"(42.362527553200003, -71.103309248900004)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.",,,,,,,,,,0,,,860,679,,,581,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
292,Hamilton Street,West of Brookline Street,"(42.358851246699899, -71.1070924056)","CDD Cambridgeport Traffic Counts, Vollmer Associates Memo, Oct. 31, 2006.",,,,,,,,,,0,,,795,748,,,630,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
